constructorId,url,name,nationality,color
adams,http://en.wikipedia.org/wiki/Adams_(constructor),Adams,American,#444444
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German,#444444
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French,#444444
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Italian,#9B0000
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian,#469BFF
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British,#444444
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealand,#444444
moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Andrea Moda,Italian,#444444
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss,#444444
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,#444444
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian,#444444
butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British,#444444
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin,Aston Martin,British,#444444
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian,#444444
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,#00D3bE
behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian,#444444
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss,#444444
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian,#FFF500
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German,#444444
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,#444444
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch,#444444
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,#444444
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British,#444444
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British,#444444
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,#444444
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,#444444
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,#444444
brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British,#444444
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,#00D3bE
brm-ford,http://en.wikipedia.org/wiki/BRM,BRM-Ford,British,#444444
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American,#444444
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British,#444444
bugatti,http://en.wikipedia.org/wiki/Bugatti,Bugatti,French,#444444
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian,#444444
vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor),Christensen,American,#444444
cisitalia,http://en.wikipedia.org/wiki/Cisitalia,Cisitalia,Italian,#444444
