position,positionText,points,wins,driverId,season,round
1,1,59,3,piquet,1983,15
2,2,57,4,prost,1983,15
3,3,49,3,arnoux,1983,15
4,4,40,1,tambay,1983,15
5,5,27,1,keke_rosberg,1983,15
6,6,22,1,watson,1983,15
7,7,22,0,cheever,1983,15
8,8,15,0,cesaris,1983,15
9,9,13,1,patrese,1983,15
10,10,12,0,lauda,1983,15
11,11,11,0,laffite,1983,15
12,12,10,1,alboreto,1983,15
13,13,10,0,mansell,1983,15
14,14,9,0,warwick,1983,15
15,15,4,0,surer,1983,15
16,16,3,0,baldi,1983,15
17,17,2,0,sullivan,1983,15
18,18,2,0,angelis,1983,15
19,19,1,0,giacomelli,1983,15
20,20,1,0,cecotto,1983,15
21,21,0,0,boutsen,1983,15
22,22,0,0,jarier,1983,15
23,23,0,0,serra,1983,15
24,24,0,0,boesel,1983,15
25,25,0,0,johansson,1983,15
26,26,0,0,manfred_winkelhock,1983,15
27,27,0,0,corrado_fabi,1983,15
28,28,0,0,ghinzani,1983,15
29,29,0,0,guerrero,1983,15
30,30,0,0,acheson,1983,15
1,1,93,7,prost,1993,15
2,2,65,3,damon_hill,1993,15
3,3,63,4,senna,1993,15
4,4,52,1,michael_schumacher,1993,15
5,5,20,0,patrese,1993,15
6,6,13,0,alesi,1993,15
7,7,12,0,brundle,1993,15
8,8,11,0,herbert,1993,15
9,9,10,0,blundell,1993,15
10,10,10,0,berger,1993,15
11,11,7,0,andretti,1993,15
12,12,7,0,wendlinger,1993,15
13,13,5,0,lehto,1993,15
14,14,5,0,fittipaldi,1993,15
15,15,4,0,hakkinen,1993,15
16,16,4,0,warwick,1993,15
17,17,2,0,alliot,1993,15
18,18,2,0,barrichello,1993,15
19,19,2,0,barbazza,1993,15
20,20,1,0,zanardi,1993,15
21,21,1,0,comas,1993,15
22,22,1,0,irvine,1993,15
23,23,0,0,martini,1993,15
24,24,0,0,badoer,1993,15
25,25,0,0,suzuki,1993,15
26,26,0,0,boutsen,1993,15
27,27,0,0,cesaris,1993,15
28,28,0,0,katayama,1993,15
29,29,0,0,alboreto,1993,15
30,30,0,0,lamy,1993,15
1,1,30,3,fangio,1956,8
2,2,27,2,moss,1956,8
3,3,25,2,collins,1956,8
4,4,22,0,behra,1956,8
5,5,8,1,flaherty,1956,8
6,6,7.5,0,castellotti,1956,8
7,7,6,0,frere,1956,8
8,8,6,0,hanks,1956,8
9,9,6,0,godia,1956,8
10,10,5,0,fairman,1956,8
11,11,4,1,musso,1956,8
12,12,4,0,hawthorn,1956,8
13,13,4,0,flockhart,1956,8
14,14,4,0,freeland,1956,8
15,15,3,0,portago,1956,8
16,16,3,0,perdisa,1956,8
17,17,3,0,schell,1956,8
18,18,3,0,parsons,1956,8
19,19,2,0,rosier,1956,8
20,20,2,0,villoresi,1956,8
21,21,2,0,ramos,1956,8
22,22,2,0,gould,1956,8
23,23,2,0,gendebien,1956,8
24,24,2,0,dick_rathmann,1956,8
25,25,1.5,0,gerini,1956,8
26,26,1.5,0,landi,1956,8
27,27,1,0,paul_russo,1956,8
28,28,0,0,andre_pilette,1956,8
29,29,0,0,piotti,1956,8
30,30,0,0,bayol,1956,8
1,1,59,4,alonso,2005,9
2,2,37,3,raikkonen,2005,9
3,3,34,1,michael_schumacher,2005,9
4,4,29,0,barrichello,2005,9
5,5,27,0,trulli,2005,9
6,6,25,0,heidfeld,2005,9
7,7,22,0,webber,2005,9
8,8,20,0,ralf_schumacher,2005,9
9,9,17,1,fisichella,2005,9
10,10,17,0,coulthard,2005,9
11,11,16,0,montoya,2005,9
12,12,7,0,massa,2005,9
13,13,6,0,monteiro,2005,9
14,14,6,0,wurz,2005,9
15,15,5,0,villeneuve,2005,9
16,16,5,0,karthikeyan,2005,9
17,17,4,0,albers,2005,9
18,18,4,0,rosa,2005,9
19,19,4,0,klien,2005,9
20,20,3,0,friesacher,2005,9
21,21,1,0,liuzzi,2005,9
22,22,0,0,button,2005,9
23,23,0,0,sato,2005,9
1,1,60,6,stewart,1971,10
2,2,29,0,peterson,1971,10
3,3,19,1,ickx,1971,10
4,4,17,0,cevert,1971,10
5,5,16,0,emerson_fittipaldi,1971,10
6,6,13,1,siffert,1971,10
7,7,12,1,mario_andretti,1971,10
8,8,12,0,regazzoni,1971,10
9,9,9,1,gethin,1971,10
10,10,9,0,rodriguez,1971,10
11,11,9,0,amon,1971,10
12,12,9,0,wisell,1971,10
13,13,9,0,hulme,1971,10
14,14,5,0,schenken,1971,10
15,15,4,0,donohue,1971,10
16,16,4,0,pescarolo,1971,10
17,17,3,0,hailwood,1971,10
18,18,3,0,surtees,1971,10
19,19,3,0,stommelen,1971,10
20,20,2,0,ganley,1971,10
21,21,2,0,hill,1971,10
22,22,1,0,beltoise,1971,10
23,23,0,0,oliver,1971,10
24,24,0,0,redman,1971,10
25,25,0,0,lennep,1971,10
26,26,0,0,bonnier,1971,10
27,27,0,0,galli,1971,10
28,28,0,0,marko,1971,10
29,29,0,0,elford,1971,10
30,30,0,0,adamich,1971,10
1,1,14,1,michael_schumacher,1995,2
2,2,10,1,damon_hill,1995,2
3,3,8,0,alesi,1995,2
4,4,6,0,coulthard,1995,2
5,5,5,0,berger,1995,2
6,6,3,0,hakkinen,1995,2
7,7,3,0,herbert,1995,2
8,8,2,0,frentzen,1995,2
9,9,1,0,blundell,1995,2
10,10,0,0,panis,1995,2
11,11,0,0,salo,1995,2
12,12,0,0,katayama,1995,2
13,13,0,0,suzuki,1995,2
14,14,0,0,montermini,1995,2
15,15,0,0,schiattarella,1995,2
16,16,0,0,diniz,1995,2
1,1,45,5,rindt,1970,9
2,2,25,1,jack_brabham,1970,9
3,3,20,0,hulme,1970,9
4,4,19,1,ickx,1970,9
5,5,19,1,stewart,1970,9
6,6,14,0,amon,1970,9
7,7,13,1,rodriguez,1970,9
8,8,12,0,regazzoni,1970,9
9,9,10,0,beltoise,1970,9
10,10,8,0,stommelen,1970,9
11,11,8,0,pescarolo,1970,9
12,12,7,0,hill,1970,9
13,13,6,0,mclaren,1970,9
14,14,4,0,mario_andretti,1970,9
15,15,3,0,giunti,1970,9
16,16,3,0,emerson_fittipaldi,1970,9
17,17,2,0,miles,1970,9
