driverId,lap,stop,time,duration,season,round
alonso,9,1,14:19:03,22.786,2016,17
max_verstappen,10,1,14:20:15,22.855,2016,17
ricciardo,10,1,14:20:26,22.996,2016,17
grosjean,10,1,14:20:36,23.741,2016,17
kvyat,10,1,14:20:38,22.990,2016,17
hulkenberg,11,1,14:22:12,22.832,2016,17
gutierrez,11,1,14:22:18,24.110,2016,17
rosberg,12,1,14:23:28,22.673,2016,17
vettel,12,1,14:23:35,23.226,2016,17
perez,12,1,14:23:45,23.605,2016,17
raikkonen,12,1,14:23:45,23.244,2016,17
ocon,12,1,14:24:19,24.973,2016,17
hamilton,13,1,14:25:25,22.989,2016,17
sainz,13,1,14:25:40,22.986,2016,17
wehrlein,13,1,14:26:05,24.630,2016,17
button,19,1,14:36:02,24.375,2016,17
kvyat,23,2,14:42:46,22.943,2016,17
massa,24,1,14:44:11,22.463,2016,17
jolyon_palmer,25,1,14:45:55,23.452,2016,17
kevin_magnussen,25,1,14:46:04,23.072,2016,17
nasr,25,1,14:46:10,25.131,2016,17
raikkonen,26,2,14:47:00,22.762,2016,17
bottas,26,1,14:47:27,25.007,2016,17
ericsson,26,1,14:47:42,24.011,2016,17
alonso,27,2,14:49:28,23.032,2016,17
max_verstappen,28,2,14:49:53,22.788,2016,17
hulkenberg,28,2,14:50:32,22.952,2016,17
gutierrez,28,2,14:51:13,23.792,2016,17
rosberg,29,2,14:51:24,23.150,2016,17
perez,29,2,14:52:07,22.721,2016,17
kobayashi,1,1,14:05:42,27.550,2011,13
barrichello,1,1,14:06:43,29.157,2011,13
bruno_senna,2,1,14:08:02,22.534,2011,13
ricciardo,1,1,14:08:50,16:44.718,2011,13
trulli,5,1,14:13:34,30.391,2011,13
resta,13,1,14:25:33,21.870,2011,13
michael_schumacher,16,1,14:29:42,22.709,2011,13
buemi,16,1,14:30:10,24.234,2011,13
button,17,1,14:31:10,21.660,2011,13
hamilton,18,1,14:32:41,22.083,2011,13
kobayashi,18,2,14:33:12,22.939,2011,13
alonso,19,1,14:34:04,22.539,2011,13
maldonado,19,1,14:34:39,23.063,2011,13
bruno_senna,19,2,14:34:43,23.145,2011,13
vettel,20,1,14:35:21,22.124,2011,13
alguersuari,20,1,14:36:08,21.988,2011,13
glock,20,1,14:36:42,25.147,2011,13
massa,21,1,14:37:20,21.821,2011,13
kovalainen,21,1,14:38:01,23.298,2011,13
trulli,24,2,14:43:14,23.420,2011,13
resta,31,2,14:52:56,23.069,2011,13
barrichello,32,2,14:54:59,23.414,2011,13
button,33,2,14:55:00,22.095,2011,13
ricciardo,20,2,14:55:30,30.777,2011,13
alonso,34,2,14:56:26,21.989,2011,13
hamilton,34,2,14:56:36,21.876,2011,13
vettel,35,2,14:57:38,21.378,2011,13
kovalainen,35,2,14:59:46,22.611,2011,13
michael_schumacher,37,2,15:01:01,22.014,2011,13
maldonado,37,2,15:02:04,22.614,2011,13
vandoorne,1,1,15:14:13,46.557,2018,9
