number,position,Q1,Q2,Q3,driverId,constructorId,season,round
4,1,1:37.813,1:37.106,1:36.219,hamilton,mclaren,2012,2
3,2,1:37.575,1:36.928,1:36.368,button,mclaren,2012,2
7,3,1:37.517,1:37.017,1:36.391,michael_schumacher,mercedes,2012,2
2,4,1:37.172,1:37.375,1:36.461,webber,red_bull,2012,2
9,5,1:37.961,1:36.715,1:36.461,raikkonen,lotus_f1,2012,2
1,6,1:38.102,1:37.419,1:36.634,vettel,red_bull,2012,2
10,7,1:38.058,1:37.338,1:36.658,grosjean,lotus_f1,2012,2
8,8,1:37.696,1:36.996,1:36.664,rosberg,mercedes,2012,2
5,9,1:38.151,1:37.379,1:37.566,alonso,ferrari,2012,2
15,10,1:37.933,1:37.477,1:37.698,perez,sauber,2012,2
18,11,1:37.789,1:37.589,,maldonado,williams,2012,2
6,12,1:38.381,1:37.731,,massa,ferrari,2012,2
19,13,1:38.437,1:37.841,,bruno_senna,williams,2012,2
11,14,1:38.325,1:37.877,,resta,force_india,2012,2
16,15,1:38.419,1:37.883,,ricciardo,toro_rosso,2012,2
12,16,1:38.303,1:37.890,,hulkenberg,force_india,2012,2
14,17,1:38.372,1:38.069,,kobayashi,sauber,2012,2
17,18,1:39.077,,,vergne,toro_rosso,2012,2
20,19,1:39.306,,,kovalainen,caterham,2012,2
21,20,1:39.567,,,petrov,caterham,2012,2
24,21,1:40.903,,,glock,marussia,2012,2
25,22,1:41.250,,,pic,marussia,2012,2
22,23,1:42.914,,,rosa,hrt,2012,2
23,24,1:43.655,,,karthikeyan,hrt,2012,2
2,1,1:25.994,1:26.192,1:27.617,massa,ferrari,2008,5
23,2,1:26.736,1:26.290,1:27.808,kovalainen,mclaren,2008,5
22,3,1:26.192,1:26.477,1:27.923,hamilton,mclaren,2008,5
1,4,1:26.457,1:26.050,1:27.936,raikkonen,ferrari,2008,5
4,5,1:26.761,1:26.129,1:28.390,kubica,bmw_sauber,2008,5
10,6,1:26.773,1:26.466,1:28.417,webber,red_bull,2008,5
5,7,1:26.836,1:26.522,1:28.422,alonso,renault,2008,5
11,8,1:26.695,1:26.822,1:28.836,trulli,toyota,2008,5
3,9,1:27.107,1:27.607,1:28.882,heidfeld,bmw_sauber,2008,5
9,10,1:26.939,1:26.520,1:29.959,coulthard,red_bull,2008,5
7,11,1:27.367,1:27.012,,rosberg,williams,2008,5
17,12,1:27.355,1:27.219,,barrichello,honda,2008,5
16,13,1:27.428,1:27.298,,button,honda,2008,5
15,14,1:27.442,1:27.412,,vettel,toro_rosso,2008,5
12,15,1:26.614,1:27.806,,glock,toyota,2008,5
8,16,1:27.547,,,nakajima,williams,2008,5
6,17,1:27.568,,,piquet_jr,renault,2008,5
14,18,1:27.621,,,bourdais,toro_rosso,2008,5
21,19,1:27.807,,,fisichella,force_india,2008,5
20,20,1:28.325,,,sutil,force_india,2008,5
44,1,1:23.214,1:22.159,1:22.000,hamilton,mercedes,2016,5
6,2,1:23.002,1:22.759,1:22.280,rosberg,mercedes,2016,5
3,3,1:23.749,1:23.585,1:22.680,ricciardo,red_bull,2016,5
33,4,1:23.578,1:23.178,1:23.087,max_verstappen,red_bull,2016,5
7,5,1:23.796,1:23.504,1:23.113,raikkonen,ferrari,2016,5
5,6,1:24.124,1:23.688,1:23.334,vettel,ferrari,2016,5
77,7,1:24.251,1:24.023,1:23.522,bottas,williams,2016,5
55,8,1:24.496,1:24.077,1:23.643,sainz,toro_rosso,2016,5
11,9,1:24.698,1:24.003,1:23.782,perez,force_india,2016,5
14,10,1:24.578,1:24.192,1:23.981,alonso,mclaren,2016,5
27,11,1:24.463,1:24.203,,hulkenberg,force_india,2016,5
22,12,1:24.583,1:24.348,,button,mclaren,2016,5
26,13,1:24.696,1:24.445,,kvyat,toro_rosso,2016,5
8,14,1:24.716,1:24.480,,grosjean,haas,2016,5
20,15,1:24.669,1:24.625,,kevin_magnussen,renault,2016,5
21,16,1:24.406,1:24.778,,gutierrez,haas,2016,5
30,17,1:24.903,,,jolyon_palmer,renault,2016,5
19,18,1:24.941,,,massa,williams,2016,5
9,19,1:25.202,,,ericsson,sauber,2016,5
12,20,1:25.579,,,nasr,sauber,2016,5
94,21,1:25.745,,,wehrlein,manor,2016,5
88,22,1:25.939,,,haryanto,manor,2016,5
6,1,1:33.171,1:28.289,,fisichella,renault,2005,1
16,2,1:35.270,1:29.159,,trulli,toyota,2005,1
7,3,1:36.717,1:28.279,,webber,williams,2005,1
11,4,1:36.984,1:29.862,,villeneuve,sauber,2005,1
14,5,1:38.320,1:28.892,,coulthard,red_bull,2005,1
15,6,1:37.486,1:29.991,,klien,red_bull,2005,1
8,7,1:39.717,1:29.413,,heidfeld,williams,2005,1
3,8,1:41.512,1:30.616,,button,bar,2005,1
10,9,1:45.325,1:29.320,,montoya,mclaren,2005,1
9,10,1:44.997,1:30.561,,raikkonen,mclaren,2005,1
2,11,1:45.481,1:31.341,,barrichello,ferrari,2005,1
19,12,1:44.357,1:32.735,,karthikeyan,jordan,2005,1
5,13,1:47.708,1:29.758,,alonso,renault,2005,1
18,14,1:46.846,1:33.483,,monteiro,jordan,2005,1
17,15,1:51.495,1:31.222,,ralf_schumacher,toyota,2005,1
20,16,1:50.864,1:37.499,,friesacher,minardi,2005,1
21,17,1:49.230,,,albers,minardi,2005,1
1,18,1:57.931,,,michael_schumacher,ferrari,2005,1
4,19,,,,sato,bar,2005,1
12,20,,,,massa,sauber,2005,1
5,1,1:29.598,,,fisichella,benetton,1998,10
14,2,1:30.317,,,alesi,sauber,1998,10
8,3,1:30.517,,,hakkinen,mclaren,1998,10
3,4,1:30.551,,,michael_schumacher,ferrari,1998,10
18,5,1:31.005,,,barrichello,stewart,1998,10
17,6,1:31.028,,,salo,arrows,1998,10
2,7,1:31.515,,,frentzen,williams,1998,10
4,8,1:31.651,,,irvine,ferrari,1998,10
10,9,1:31.917,,,ralf_schumacher,jordan,1998,10
11,10,1:32.081,,,panis,prost,1998,10
1,11,1:32.083,,,villeneuve,williams,1998,10
19,12,1:32.099,,,verstappen,stewart,1998,10
16,13,1:32.206,,,diniz,arrows,1998,10
7,14,1:32.399,,,coulthard,mclaren,1998,10
9,15,1:32.718,,,damon_hill,jordan,1998,10
12,16,1:32.906,,,trulli,prost,1998,10
6,17,1:33.185,,,wurz,benetton,1998,10
15,18,1:33.205,,,herbert,sauber,1998,10
23,19,1:33.399,,,tuero,minardi,1998,10
21,20,1:34.090,,,takagi,tyrrell,1998,10
22,21,1:34.536,,,nakano,minardi,1998,10
20,22,1:34.910,,,rosset,tyrrell,1998,10
22,1,1:25.211,1:24.855,1:26.202,button,brawn,2009,1
23,2,1:25.006,1:24.783,1:26.505,barrichello,brawn,2009,1
