number,position,positionText,points,grid,laps,status,driverId,constructorId,Time.millis,Time.time,FastestLap.rank,FastestLap.lap,FastestLap.Time.time,FastestLap.AverageSpeed.units,FastestLap.AverageSpeed.speed,season,round
44,1,1,50,2,55,Finished,hamilton,mercedes,5942619,1:39:02.619,4,49,1:45.599,kph,189.342,2014,19
19,2,2,36,4,55,Finished,massa,williams,5945195,+2.576,2,47,1:44.826,kph,190.738,2014,19
77,3,3,30,3,55,Finished,bottas,williams,5971499,+28.880,6,54,1:45.727,kph,189.113,2014,19
3,4,4,24,20,55,Finished,ricciardo,red_bull,5979856,+37.237,1,50,1:44.496,kph,191.341,2014,19
22,5,5,20,6,55,Finished,button,mclaren,6002953,+1:00.334,9,47,1:46.739,kph,187.320,2014,19
27,6,6,16,12,55,Finished,hulkenberg,force_india,6004767,+1:02.148,7,47,1:45.777,kph,189.024,2014,19
11,7,7,12,11,55,Finished,perez,force_india,6013679,+1:11.060,8,49,1:45.808,kph,188.968,2014,19
1,8,8,8,19,55,Finished,vettel,red_bull,6014664,+1:12.045,3,51,1:45.552,kph,189.427,2014,19
14,9,9,4,8,55,Finished,alonso,ferrari,6028432,+1:25.813,12,45,1:47.424,kph,186.126,2014,19
7,10,10,2,7,55,Finished,raikkonen,ferrari,6030439,+1:27.820,16,46,1:47.736,kph,185.586,2014,19
20,11,11,0,9,55,Finished,kevin_magnussen,mclaren,6032995,+1:30.376,10,37,1:46.824,kph,187.171,2014,19
25,12,12,0,10,55,Finished,vergne,toro_rosso,6034566,+1:31.947,5,50,1:45.686,kph,189.186,2014,19
8,13,13,0,18,54,+1 Lap,grosjean,lotus_f1,,,17,35,1:47.897,kph,185.310,2014,19
6,14,14,0,1,54,+1 Lap,rosberg,mercedes,,,11,17,1:46.869,kph,187.092,2014,19
21,15,15,0,14,54,+1 Lap,gutierrez,sauber,,,15,43,1:47.698,kph,185.652,2014,19
99,16,16,0,13,54,+1 Lap,sutil,sauber,,,14,44,1:47.508,kph,185.980,2014,19
46,17,17,0,17,54,+1 Lap,stevens,caterham,,,18,47,1:48.398,kph,184.453,2014,19
10,18,R,0,16,42,Retired,kobayashi,caterham,,,13,38,1:47.431,kph,186.113,2014,19
13,19,R,0,15,26,Power Unit,maldonado,lotus_f1,,,20,9,1:48.933,kph,183.547,2014,19
26,20,R,0,5,14,Power Unit,kvyat,toro_rosso,,,19,10,1:48.748,kph,183.859,2014,19
9,1,1,8.14,2,90,Finished,gonzalez,ferrari,10574000,2:56:14.0,,,,,,1954,5
11,2,2,6.14,3,90,Finished,hawthorn,ferrari,,+1:10,,,,,,1954,5
33,3,3,4.14,28,89,+1 Lap,marimon,maserati,,,,,,,,1954,5
1,4,4,3.14,1,89,+1 Lap,fangio,mercedes,,,,,,,,1954,5
10,5,5,2,8,87,+3 Laps,trintignant,ferrari,,,,,,,,1954,5
4,6,6,0,32,87,+3 Laps,mieres,maserati,,,,,,,,1954,5
2,7,7,0,6,87,+3 Laps,kling,mercedes,,,,,,,,1954,5
8,8,8,0,9,86,+4 Laps,wharton,maserati,,,,,,,,1954,5
19,9,9,0,12,86,+4 Laps,andre_pilette,gordini,,,,,,,,1954,5
29,10,10,0,18,85,+5 Laps,gerard,cooper,,,,,,,,1954,5
25,11,11,0,17,84,+6 Laps,beauman,connaught,,,,,,,,1954,5
3,12,12,0,16,83,+7 Laps,schell,maserati,,,,,,,,1954,5
23,13,13,0,22,82,+8 Laps,marr,connaught,,,,,,,,1954,5
26,14,14,0,23,78,+12 Laps,thorne,connaught,,,,,,,,1954,5
28,15,15,0,20,44,+46 Laps,gould,cooper,,,,,,,,1954,5
7,16,R,0,4,80,Axle,moss,maserati,,,,,,,,1954,5
22,17,R,0,19,63,Fuel system,whitehouse,connaught,,,,,,,,1954,5
17,18,R,0,5,54,Suspension,behra,gordini,,,,,,,,1954,5
5,19,R,0,7,53,Transmission,salvadori,maserati,,,,,,,,1954,5
6,20,R,0,10,44,Accident,flockhart,maserati,,,,,,,,1954,5
6,20,R,0,10,44,Accident,bira,maserati,,,,,,,,1954,5
32,21,R,0,27,40,Engine,villoresi,maserati,,,,,,,,1954,5
32,21,R,0,27,40,Engine,ascari,maserati,,,,,,,,1954,5
24,22,R,0,21,40,Accident,riseley_prichard,connaught,,,,,,,,1954,5
